year,spills,importexport,domestic
1974,2,0.72,0.22
1975,5,0.85,0.17
1976,3,1.12,0.15
1977,3,1.345,0.2
1978,1,1.29,0.59
1979,5,1.26,0.64
1980,2,1.015,0.84
1981,2,0.87,0.87
1982,1,0.75,0.94
1983,1,0.605,0.99
1984,1,0.57,0.92
1985,2,0.54,1.0
1986,3,0.72,0.99
1987,4,0.79,1.06
1988,2,0.84,1.0
1989,2,0.995,0.88
1990,3,1.03,0.82
1991,2,0.975,0.82
1992,1,1.07,0.76
1993,0,1.19,0.66
1994,0,1.29,0.65
1995,1,1.235,0.59
1996,0,1.34,0.56
1997,0,1.44,0.51
1998,0,1.45,0.42
1999,0,1.51,0.44
